Method	outcome	b	se	pval	Q	Q_pval	ncase	ncontrol	intercept	intercept_pval	snp_r2.outcome	steiger_pval
Inverse variance weighted	Leisure/social activities: Adult education class	-0.000721867168753767	0.00937116529207455	0.938599143970592	31.4398900029796	0.0176467559358322	33398	427971	NA	NA	6.8456819519595e-05	2.71999834255447e-127
MR Egger	Leisure/social activities: Adult education class	-0.022855330011283	0.0211817481334143	0.296581375860761	28.9919561009291	0.0239904154781762	33398	427971	0.000558823417193008	0.262155062025193	6.8456819519595e-05	2.71999834255447e-127
Simple mode	Leisure/social activities: Adult education class	-0.00329960413135563	0.0180811855378256	0.857358074043994	NA	NA	33398	427971	NA	NA	6.8456819519595e-05	2.71999834255447e-127
Weighted median	Leisure/social activities: Adult education class	-0.00885437529378595	0.00977077380358249	0.364824582961294	NA	NA	33398	427971	NA	NA	6.8456819519595e-05	2.71999834255447e-127
Weighted mode	Leisure/social activities: Adult education class	-0.0122013232855746	0.0136694942127603	0.384535213794055	NA	NA	33398	427971	NA	NA	6.8456819519595e-05	2.71999834255447e-127
Inverse variance weighted	Leisure/social activities: Sports club or gym	-0.00928936982952542	0.0146551164238289	0.526168730263614	24.3805278027249	0.109459030296413	138494	322875	NA	NA	5.39695798020492e-05	7.44548699818743e-132
MR Egger	Leisure/social activities: Sports club or gym	-0.00777661712396521	0.0344918348546038	0.824474040757017	24.3769017520639	0.0815896608935492	138494	322875	-3.81940849693141e-05	0.961694310689215	5.39695798020492e-05	7.44548699818743e-132
Simple mode	Leisure/social activities: Sports club or gym	-0.037643762821833	0.031855297486907	0.253587574136768	NA	NA	138494	322875	NA	NA	5.39695798020492e-05	7.44548699818743e-132
Weighted median	Leisure/social activities: Sports club or gym	-0.0274393514360691	0.0182359775180157	0.132405792158932	NA	NA	138494	322875	NA	NA	5.39695798020492e-05	7.44548699818743e-132
Weighted mode	Leisure/social activities: Sports club or gym	-0.0301318091590759	0.0279552573131188	0.296154567379089	NA	NA	138494	322875	NA	NA	5.39695798020492e-05	7.44548699818743e-132
Inverse variance weighted	Leisure/social activities: Other group activity	0.0124299080664291	0.0147910172500045	0.400701688143964	30.7449055061121	0.0214470881457275	101824	359545	NA	NA	6.95438015005465e-05	5.66734134498158e-127
MR Egger	Leisure/social activities: Other group activity	-0.0223066311801119	0.0334477499209651	0.514333136042362	28.3780506673214	0.0284833970598489	101824	359545	0.000877026310399859	0.264972411394297	6.95438015005465e-05	5.66734134498158e-127
Simple mode	Leisure/social activities: Other group activity	0.0110386922878888	0.0310309783370708	0.726417645098355	NA	NA	101824	359545	NA	NA	6.95438015005465e-05	5.66734134498158e-127
Weighted median	Leisure/social activities: Other group activity	0.00395130332409627	0.0164380300658604	0.810038998565346	NA	NA	101824	359545	NA	NA	6.95438015005465e-05	5.66734134498158e-127
Weighted mode	Leisure/social activities: Other group activity	0.000625564954852276	0.0271380777420854	0.981877852821577	NA	NA	101824	359545	NA	NA	6.95438015005465e-05	5.66734134498158e-127
Inverse variance weighted	Leisure/social activities: Pub or social club	0.0139209855324492	0.0146961935745543	0.343510842010483	27.1350726925636	0.0561163658283133	125532	335837	NA	NA	6.17795935792218e-05	2.56210777825294e-129
MR Egger	Leisure/social activities: Pub or social club	0.0155236731996687	0.0345877604314514	0.659580778694142	27.1305679853046	0.040054530113265	125532	335837	-4.04649840292435e-05	0.959531399916969	6.17795935792218e-05	2.56210777825294e-129
Simple mode	Leisure/social activities: Pub or social club	0.0089451694451986	0.0303305774008027	0.771624417756494	NA	NA	125532	335837	NA	NA	6.17795935792218e-05	2.56210777825294e-129
Weighted median	Leisure/social activities: Pub or social club	0.0114476778862829	0.0176430485350434	0.516435854232477	NA	NA	125532	335837	NA	NA	6.17795935792218e-05	2.56210777825294e-129
Weighted mode	Leisure/social activities: Pub or social club	0.0089451694451986	0.0254366807713151	0.729411237450771	NA	NA	125532	335837	NA	NA	6.17795935792218e-05	2.56210777825294e-129
Inverse variance weighted	Leisure/social activities: Religious group	-0.0496161651743764	0.012112051398026	4.19571105860298e-05	28.3382550661684	0.041137710435583	67877	393492	NA	NA	0.000122036276087181	3.91246381556787e-114
