V1	p_value	term_id	source	term_name 
1	0.0083	CORUM:1779	CORUM	TGF-beta-receptor-PAR6 complex 
2	0.0083	CORUM:5375	CORUM	EGR-EP300 complex 
3	0.0083	CORUM:5261	CORUM	TCF4-CTNNB1-EP300 complex 
4	0.0083	CORUM:6354	CORUM	Sox4-beta-catenin-p300 complex 
5	0.0083	CORUM:6502	CORUM	Estrogen receptor complex (ESR1, EP300, NCOA1) 
6	0.0083	CORUM:2642	CORUM	SMAD1-P300 complex 
7	0.0083	CORUM:6586	CORUM	VEcad-VEGFR complex 
8	0.0083	CORUM:5535	CORUM	PLCB3-PARD3-PARD6A complex 
9	0.0083	CORUM:1831	CORUM	PIAS3-SMAD3-P300 complex 
10	0.0083	CORUM:6144	CORUM	CENP-T-W complex 
11	0.0083	CORUM:1521	CORUM	p300-SMAD1-STAT3 complex 
12	0.0083	CORUM:5388	CORUM	SERPINA1-ELA2 complex 
13	0.0083	CORUM:6942	CORUM	FZD5-LGR5-LRP6 complex 
14	0.0083	CORUM:1160	CORUM	ING1-p300-PCNA complex 
15	0.0083	CORUM:1158	CORUM	p33ING1b-p300 complex 
16	0.0083	CORUM:7328	CORUM	AML1-HIPK2-p300 complex 
17	0.0083	CORUM:918	CORUM	PAR3-PAR6-PALS1 complex 
18	0.0083	CORUM:5740	CORUM	NRP2-VEGFR3 complex 
19	0.0083	CORUM:831	CORUM	PAR-6-PAR-3-VE-cadherin complex, endothelial 
20	0.0083	CORUM:829	CORUM	PAR-6-VE-cadherin complex, endothelial 
21	0.0083	CORUM:571	CORUM	p300-CBP-p270 complex 
22	0.0083	CORUM:7564	CORUM	LGR5-RNF43-RSPO1 complex 
23	0.0083	CORUM:98	CORUM	p300-MDM2-p53 protein complex 
24	0.0083	CORUM:7300	CORUM	PARD3B-PARD6A-PRKCI complex 
25	0.0083	CORUM:5534	CORUM	PLCB1-PARD3-PARD6A complex 
26	0.0096	CORUM:4	CORUM	Multisubunit ACTR coactivator complex 
27	0.0096	CORUM:7444	CORUM	HOOK2-PAR3-Par6alpha-PKCiota complex 
28	0.0096	CORUM:6653	CORUM	EP300-KAT2B-TBX5-WWTR1 complex 
29	0.0096	CORUM:6146	CORUM	CENP-T-W-S-X heterotetramer complex 
30	0.0108	CORUM:5260	CORUM	TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex 
31	0.0108	CORUM:1471	CORUM	(RB2, E2F5, HDAC1, SUV39H1, P300) 
32	0.0108	CORUM:905	CORUM	KIF3A/B-PAR-3-aPKC-PAR-6 complex 
33	0.0119	CORUM:5118	CORUM	RBL2 complex 
34	0.0119	CORUM:2638	CORUM	HES1 promoter corepressor complex 
35	0.0119	CORUM:927	CORUM	CENP-A NAC complex 
36	0.0135	CORUM:570	CORUM	p300-CBP-p270-SWI/SNF complex 
37	0.0236	CORUM:2639	CORUM	HES1 promoter-Notch enhancer complex 
38	0.0236	CORUM:1179	CORUM	CENP-A NAC-CAD complex 
39	0.0247	CORUM:7388	CORUM	CENP-A nucleosomal complex 
40	0.0301	CORUM:7581	CORUM	ESR1-TRAP/Mediator coactivator-complex 
