V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs17385885	1	15372802	rs7502538	17	13299190	-17.7143	3.7003	1.69035e-06		
2	rs1321117	1	30400206	rs12881810	14	71993639	1.0136	0.2150	2.41313e-06		
3	rs13426	1	32028673	rs3766379	1	159074339	1.4875	0.2981	6.06304e-07		
4	rs13426	1	32028673	rs6671710	1	159075909	1.3881	0.3022	4.34981e-06		
5	rs13426	1	32028673	rs512525	1	159080367	1.3813	0.3024	4.92128e-06		
6	rs13426	1	32028673	rs11582719	1	159090436	1.4119	0.3019	2.91276e-06		
7	rs4915873	1	63307674	rs9822730	3	114337365	-1.2383	0.2742	6.31023e-06		
8	rs284169	1	91986030	rs705099	4	37271341	-1.1248	0.2209	3.55266e-07		
9	rs2207701	1	115111035	rs1042717	5	148186839	-2.7862	0.6137	5.63112e-06		
10	rs3765821	1	239860854	rs6737623	2	42144989	-2.2711	0.5073	7.56743e-06		
11	rs6737623	2	42144989	rs12363683	11	87459489	2.6636	0.5837	5.04272e-06		
12	rs2567599	2	73847582	rs11563057	2	234563208	2.4924	0.5341	3.06772e-06		
13	rs162810	3	7691889	rs7324378	13	50577045	-17.2315	3.6314	2.08341e-06		
14	rs780362	3	59734612	rs1892669	21	31213372	-1.5527	0.3275	2.12719e-06		
15	rs2971458	3	184697981	rs3794370	13	22654627	1.3251	0.2906	5.10049e-06		
16	rs16861112	4	47890699	rs17209451	5	65952734	1.2977	0.2860	5.6869e-06		
17	rs7668895	4	53151173	rs7340852	4	65192764	1.2893	0.2765	3.11407e-06		
18	rs7668895	4	53151173	rs4403082	4	65193230	1.2987	0.2803	3.60218e-06		
19	rs7668895	4	53151173	rs766818	4	65195214	1.2530	0.2818	8.71394e-06		
20	rs3733506	4	53154377	rs7340852	4	65192764	1.2912	0.2764	2.99961e-06		
21	rs3733506	4	53154377	rs4403082	4	65193230	1.3011	0.2803	3.44955e-06		
22	rs3733506	4	53154377	rs766818	4	65195214	1.2554	0.2817	8.34194e-06		
23	rs6840875	4	53299344	rs7340852	4	65192764	1.4748	0.2890	3.32978e-07		
24	rs6840875	4	53299344	rs4403082	4	65193230	1.5008	0.2929	3.00065e-07		
25	rs6840875	4	53299344	rs766818	4	65195214	1.4251	0.2925	1.10087e-06		
26	rs4865408	4	53314124	rs7340852	4	65192764	1.4411	0.2837	3.78264e-07		
27	rs4865408	4	53314124	rs4403082	4	65193230	1.4678	0.2873	3.24594e-07		
28	rs4865408	4	53314124	rs766818	4	65195214	1.3969	0.2874	1.17207e-06		
29	rs10009096	4	53318494	rs7340852	4	65192764	1.4706	0.2860	2.73289e-07		
30	rs10009096	4	53318494	rs4403082	4	65193230	1.4850	0.2899	3.02432e-07		
31	rs10009096	4	53318494	rs766818	4	65195214	1.4092	0.2894	1.12051e-06		
32	rs6855459	4	64086972	rs2806890	13	45360061	-1.1212	0.2369	2.21014e-06		
33	rs6534554	4	127502750	rs3758893	11	120480600	-1.7188	0.3836	7.45224e-06		
34	rs1993616	4	174056940	rs219816	7	98448531	-17.0403	3.6457	2.95293e-06		
35	rs1993616	4	174056940	rs219815	7	98448620	-21.6502	4.8658	8.60983e-06		
36	rs9361116	6	77470954	rs2211848	21	38289313	1.5022	0.3397	9.75834e-06		
37	rs11153611	6	116871256	rs2516737	16	2041750	-2.2439	0.5071	9.65482e-06		
38	rs11153611	6	116871256	rs1800720	16	2045401	-2.2607	0.5100	9.30948e-06		
39	rs2051950	7	86833858	rs8012614	14	73024217	-1.6106	0.3637	9.48057e-06		
40	rs11977045	7	130480376	rs4875371	8	4479917	-1.5120	0.3111	1.17044e-06		
41	rs1439794	7	130485199	rs4875371	8	4479917	-1.3963	0.3060	5.03862e-06		
42	rs7462672	8	11935618	rs933577	17	50807334	1.4449	0.2996	1.41339e-06		
43	rs1531848	8	94306462	rs10835507	11	29268995	0.9141	0.2064	9.51145e-06		
44	rs882259	9	2589564	rs3911554	11	80827181	0.9511	0.1985	1.66173e-06		
45	rs885578	9	107906281	rs9320004	18	58029028	17.8708	3.7113	1.47085e-06		
46	rs10509936	10	113026683	rs953905	13	73891001	1.0962	0.2473	9.30599e-06		
47	rs10736280	10	121827417	rs2823357	21	15836776	-3.0359	0.6601	4.2461e-06		
48	rs10736280	10	121827417	rs2179030	21	15837982	-2.9384	0.6331	3.45988e-06		
49	rs4751072	10	130899243	rs7124697	11	24605938	0.9887	0.2219	8.37049e-06		
50	rs9804629	11	82413697	rs8129780	21	21916220	-18.4187	4.0891	6.65694e-06		
51	rs9804629	11	82413697	rs17003913	21	21917013	-23.1629	5.0585	4.67141e-06		
52	rs12602753	17	62332794	rs9320004	18	58029028	1.1025	0.2202	5.52669e-07		
53	rs12602753	17	62332794	rs978572	18	58073170	1.0726	0.2253	1.93415e-06		
54	rs12602753	17	62332794	rs2980981	18	58098098	1.0292	0.2206	3.07117e-06		
