V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs12128446	1	6977194	rs9542596	13	70621297	-1.9700	0.4418	8.23735e-06		
2	rs2297977	1	43187875	rs1535692	13	93832750	1.5306	0.3327	4.20554e-06		
3	rs2297972	1	43190613	rs11203200	21	42687644	1.6399	0.3620	5.91541e-06		
4	rs11162094	1	76417668	rs12446798	16	28191236	2.2932	0.5122	7.57619e-06		
5	rs12726148	1	102860260	rs7086624	10	73369151	-17.6720	3.5360	5.79921e-07		
6	rs1241182	1	103120688	rs7086624	10	73369151	-17.6075	3.4055	2.33648e-07		
7	rs13375429	1	111904845	rs11954658	5	140901595	3.8089	0.8518	7.76249e-06		
8	rs11102354	1	112235189	rs16966406	15	36264553	17.8819	4.0332	9.26558e-06		
9	rs6703705	1	113175228	rs10203969	2	217193795	19.1931	4.2631	6.72647e-06		
10	rs6703705	1	113175228	rs12880418	14	78239581	-17.5491	3.8575	5.3805e-06		
11	rs12132927	1	151698185	rs7585718	2	11640781	17.4523	3.8720	6.56357e-06		
12	rs9435886	1	246395636	rs7626182	3	195328616	-17.2831	3.5659	1.25461e-06		
13	rs6760967	2	4647199	rs166213	16	64456437	1.7659	0.3957	8.09826e-06		
14	rs1558628	2	10395873	rs17021982	3	2911576	-2.3225	0.5234	9.1228e-06		
15	rs1558628	2	10395873	rs12153515	5	164564372	1.6423	0.3635	6.253e-06		
16	rs6758633	2	10397652	rs12153515	5	164564372	1.6634	0.3698	6.85873e-06		
17	rs6758633	2	10397652	rs1638586	11	66931173	1.6241	0.3602	6.52401e-06		
18	rs7585718	2	11640781	rs12313273	12	120547393	18.2520	3.9889	4.74574e-06		
19	rs7585718	2	11640781	rs3741595	12	120563572	4.1800	0.9058	3.93458e-06		
20	rs7585718	2	11640781	rs6127466	20	36276297	18.2759	3.8876	2.58847e-06		
21	rs6733711	2	12498718	rs1286738	3	25589536	17.2235	3.6827	2.91379e-06		
22	rs1530394	2	31217236	rs2834114	21	33451104	1.8019	0.3999	6.61117e-06		
23	rs207440	2	31415916	rs812315	12	56279757	-2.9958	0.6683	7.38007e-06		
24	rs2273659	2	32781367	rs759159	7	55146894	1.4506	0.3205	6.0088e-06		
25	rs7596775	2	58015024	rs10934665	3	125525876	-18.0649	3.9136	3.91362e-06		
26	rs7585161	2	76723811	rs1710896	3	10992136	2.4261	0.5036	1.45564e-06		
27	rs16844617	2	141217162	rs6794294	3	65618598	1.6192	0.3635	8.4005e-06		
28	rs7604580	2	158769504	rs16970049	15	38038887	2.1940	0.4782	4.46417e-06		
29	rs7579360	2	158769781	rs16970049	15	38038887	2.2057	0.4782	3.98312e-06		
30	rs6740826	2	168735801	rs10770407	12	18978417	-2.8427	0.6125	3.46891e-06		
31	rs540524	2	169465176	rs16926560	11	44536546	17.7545	3.8100	3.1616e-06		
32	rs4125973	2	180654320	rs1420995	16	50068938	2.5140	0.5626	7.87318e-06		
33	rs6717445	2	221643665	rs17094645	14	96475737	4.3796	0.9638	5.51924e-06		
34	rs17050639	3	9920978	rs6925338	6	994017	-17.8520	4.0070	8.38129e-06		
35	rs1710896	3	10992136	rs3028	9	89341182	-17.4121	3.9083	8.38177e-06		
36	rs4340668	3	24972917	rs12880418	14	78239581	-22.8939	5.0397	5.5531e-06		
37	rs10934665	3	125525876	rs3741595	12	120563572	18.7760	3.8680	1.20852e-06		
38	rs10934665	3	125525876	rs12880418	14	78239581	-18.1415	3.8859	3.03276e-06		
39	rs4599370	4	169878084	rs16928463	9	114903731	17.7206	3.8768	4.85452e-06		
40	rs17064782	4	178550268	rs12153515	5	164564372	1.6372	0.3690	9.15257e-06		
41	rs17739994	4	178550508	rs12153515	5	164564372	1.9466	0.4095	2.00144e-06		
42	rs11724481	4	188588781	rs12363087	11	45069446	20.2031	4.4527	5.70008e-06		
43	rs13186768	5	18084440	rs12441058	15	59164913	-1.2767	0.2857	7.87279e-06		
44	rs6451722	5	43747135	rs16966406	15	36264553	-17.8555	3.9949	7.8353e-06		
45	rs809798	5	53284120	rs12877019	13	25377030	-1.3646	0.3071	8.83086e-06		
46	rs809798	5	53284120	rs6134722	20	12856451	-17.7285	3.8899	5.1747e-06		
47	rs10474648	5	80444622	rs9927125	16	86029374	17.5885	3.8208	4.15837e-06		
48	rs12153515	5	164564372	rs885201	12	2982639	1.5626	0.3456	6.12601e-06		
49	rs4395771	6	3249777	rs7976542	12	79020516	18.3472	3.9578	3.55738e-06		
50	rs7761394	6	21889931	rs8084524	18	41168213	17.1916	3.8868	9.73047e-06		
51	rs6901028	6	62042822	rs1011387	8	128351093	2.3961	0.5321	6.70988e-06		
52	rs12662237	6	148150583	rs3741595	12	120563572	-2.8634	0.6459	9.29141e-06		
53	rs9384449	6	150725088	rs12154752	7	124837765	1.4320	0.2848	4.96966e-07		
54	rs9322486	6	155296741	rs9901870	17	72575732	17.2411	3.7977	5.62825e-06		
55	rs17707505	7	22124589	rs4945142	11	76484170	2.3170	0.4719	9.09473e-07		
56	rs739627	7	24820021	rs16926560	11	44536546	2.2266	0.4732	2.53641e-06		
57	rs12546334	8	15764239	rs2292910	11	45860189	3.0271	0.6820	9.06791e-06		
58	rs10108727	8	15816860	rs10441687	9	38154364	1.4948	0.3344	7.83732e-06		
59	rs7842248	8	89697728	rs17514846	15	89217554	-3.3992	0.7428	4.73109e-06		
60	rs11784608	8	96271460	rs9584922	13	98182541	19.2755	4.3413	8.99505e-06		
61	rs11142907	9	73397341	rs12589344	14	85027423	16.7630	3.6866	5.44255e-06		
62	rs12220112	10	8852761	rs12589344	14	85027423	3.1679	0.7081	7.69236e-06		
63	rs1638586	11	66931173	rs3803452	15	55367038	2.2581	0.4903	4.11244e-06		
64	rs7105776	11	72401751	rs12589344	14	85027423	3.1567	0.6968	5.88177e-06		
65	rs871639	12	67725342	rs7204722	16	85987740	1.6518	0.3362	8.93642e-07		
66	rs6581845	12	67741183	rs7204722	16	85987740	1.7100	0.3449	7.10923e-07		
67	rs1873570	12	98961863	rs16975208	18	37538035	3.0999	0.6724	4.0265e-06		
68	rs7296162	12	98969115	rs16975208	18	37538035	3.1095	0.7009	9.1386e-06		
69	rs7296162	12	98969115	rs16997918	22	35925862	-17.5512	3.8066	4.01126e-06		
70	rs7963085	12	112709174	rs6087433	20	31017374	-17.2793	3.8685	7.94709e-06		
71	rs3741595	12	120563572	rs1500106	12	124315518	-1.8022	0.4053	8.72556e-06		
72	rs7335200	13	22555518	rs17721321	20	5244078	-1.6987	0.3714	4.79016e-06		
73	rs17649047	15	49840521	rs6044870	20	1754234	19.6224	4.0980	1.68202e-06		
74	rs17649255	15	49908897	rs6044870	20	1754234	18.8020	3.9719	2.20363e-06		
75	rs12592953	15	94329349	rs6417104	18	45253512	-1.3819	0.2851	1.25191e-06		
76	rs3102350	16	87907437	rs2836034	21	38179247	2.5746	0.5817	9.58299e-06		
