V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
1	rs7537470	1	58774809	rs10871631	18	64564484	1.4029	0.3031	3.69222e-06		
2	rs3136247	2	47866603	rs13113465	4	165917658	1.1195	0.2512	8.31952e-06		
3	rs10865358	2	66900069	rs9939674	16	16831521	-1.3684	0.3060	7.76812e-06		
4	rs1008800	3	191677262	rs8042025	15	92391548	1.1654	0.2563	5.44436e-06		
5	rs4487342	4	7568079	rs17349444	13	82122720	-17.3758	3.8501	6.38988e-06		
6	rs9918079	4	15154508	rs2930230	16	83874666	-2.3389	0.5193	6.67054e-06		
7	rs11728037	4	15203996	rs2930230	16	83874666	-2.4446	0.5050	1.29232e-06		
8	rs2571494	4	29743146	rs2253907	6	31444849	0.9725	0.2078	2.87074e-06		
9	rs2571494	4	29743146	rs2844558	6	31448412	-0.9268	0.1977	2.75928e-06		
10	rs7663168	4	67020209	rs414845	21	39176335	-1.7270	0.3737	3.81087e-06		
11	rs4619859	4	94918032	rs7896076	10	15912833	-17.4349	3.9409	9.68226e-06		
12	rs732020	4	94920377	rs7896076	10	15912833	-17.4286	3.9450	9.96727e-06		
13	rs1453871	4	100167429	rs304379	5	121796570	0.9916	0.2206	6.95238e-06		
14	rs1238741	4	100202335	rs7323392	13	23164521	-2.3326	0.5195	7.11327e-06		
15	rs8086	4	185914415	rs7806	20	54412578	1.1596	0.2601	8.2869e-06		
16	rs1803898	4	185938543	rs2284060	22	36873399	-0.9556	0.2036	2.67939e-06		
17	rs7698980	4	186412191	rs2064108	6	5609463	-1.0657	0.2392	8.37314e-06		
18	rs10473829	5	27337279	rs7821554	8	106867851	2.3199	0.5088	5.12265e-06		
19	rs9313564	5	171274454	rs12587001	14	103671930	-1.3761	0.2809	9.60461e-07		
20	rs307805	5	180010093	rs1791619	12	51057341	-2.0340	0.4470	5.36448e-06		
21	rs2844558	6	31448412	rs7996365	13	67200857	-1.9982	0.4399	5.57184e-06		
22	rs2855448	6	33244553	rs1796135	12	77512679	0.9289	0.2070	7.23374e-06		
23	rs6954595	7	19905468	rs702827	7	29457928	0.9967	0.2217	6.90662e-06		
24	rs17513961	7	46359092	rs12242999	10	16717982	1.4122	0.3119	5.96359e-06		
25	rs921773	8	13275292	rs2294618	16	1754392	-17.2755	3.7218	3.45483e-06		
26	rs16883597	8	35139007	rs12323080	13	100841576	1.9783	0.4473	9.7467e-06		
27	rs1947300	8	35195174	rs12323080	13	100841576	2.2536	0.5099	9.87656e-06		
28	rs17456596	8	80946553	rs7288416	22	27129436	1.0053	0.2192	4.50629e-06		
29	rs10956824	8	93257078	rs8086318	18	29517318	-0.9459	0.2039	3.49948e-06		
30	rs1331436	9	88358520	rs12831803	12	124127104	1.8995	0.4240	7.47958e-06		
31	rs9988765	10	82705777	rs4789374	17	72423955	-17.3086	3.7812	4.70532e-06		
32	rs7073243	10	112592257	rs11908625	20	23378230	2.7529	0.6086	6.09455e-06		
33	rs3741845	12	10853382	rs1791619	12	51057341	-1.1086	0.2486	8.24971e-06		
34	rs3741845	12	10853382	rs10459511	14	55336569	-1.7295	0.3242	9.56024e-08		
35	rs10881068	12	45868962	rs2839010	21	46067460	0.9623	0.2147	7.41232e-06		
36	rs2272550	14	21661828	rs7187470	16	20327276	-1.1308	0.2512	6.72258e-06		
37	rs4794255	17	46907675	rs3746236	19	39990801	-1.0497	0.2367	9.18601e-06		
