V1	rs	chr	ps	beta	se	p	Gene 
1	rs7531445	1	86439481	0.0203	0.0043	2.132489e-06	
2	rs7558478	2	21041664	0.0458	0.0103	8.519934e-06	
3	rs1896701	5	23504549	0.0239	0.0052	3.875019e-06	PRDM9 
4	rs13362182	5	85575598	0.0364	0.0079	4.480616e-06	
5	rs17058082	6	130214612	0.0471	0.0090	1.885517e-07	TMEM244 
6	rs9364788	6	165378269	0.0126	0.0028	9.090796e-06	
7	rs4475440	8	32846452	0.0411	0.0084	9.092389e-07	
8	rs16880105	8	32849239	0.0410	0.0084	9.825619e-07	
9	rs16880178	8	32939262	0.0508	0.0097	1.748787e-07	
10	rs9643901	8	38898804	0.0138	0.0030	6.163741e-06	PLEKHA2 
11	rs875056	8	142652032	0.0191	0.0038	6.880124e-07	
12	rs1453580	11	99286357	0.0344	0.0072	1.809675e-06	CNTN5 
13	rs11068753	12	116864562	0.0162	0.0036	8.607632e-06	KSR2 
14	rs4905757	14	98252379	0.0243	0.0055	9.735744e-06	
